id,sentence,source,length
1,"3 (three) is a number, numeral and digit.",Tree,8
2,"It is the natural number following 2 and preceding 4, and is the smallest odd prime number and the only prime preceding a square number.",Tree,25
3,It has religious and cultural significance in many societies.,Tree,9
4,"That was also the original representation of 3 in the Brahmic (Indian) numerical notation, its earliest forms aligned vertically.",Tree,19
5,"However, during the Gupta Empire, the sign was modified by the addition of a curve on each line.",Tree,18
6,"The Nāgarī script rotated the lines clockwise, so they appeared horizontally, and ended each line with a short downward stroke on the right.",Tree,23
7,"In cursive script, the three strokes were eventually connected to form a symbol resembling a ⟨3⟩ with an additional stroke at the bottom: ३.",Tree,24
8,The Indian digits spread to the Caliphate in the 9th century.,Tree,11
9,"In contrast, the Eastern Arabs retained and enlarged that stroke, rotating the digit once more to yield the modern (""Eastern"") Arabic digit ""٣"".",Tree,23
10,"In most modern Western typefaces, the digit 3, like the other decimal digits, has the height of a capital letter, and sits on the baseline.",Tree,25
11,"In typefaces with text figures, on the other hand, the glyph usually has the height of a lowercase letter ""x"" and a descender: """".",Tree,24
12,"In some French text-figure typefaces, though, it has an ascender instead of a descender.",Tree,14
13,"A common graphic variant of the digit three has a flat top, similar to the letter Ʒ (ezh).",Tree,18
14,"This form, sometimes called a banker's 3, can stop a forger from turning the 3 into an 8.",Tree,18
15,It is found on UPC-A barcodes and standard 52-card decks.,Tree,10
16,This known as the divisibility rule of 3.,Tree,8
17,"Because of this, the reverse of any number that is divisible by three (or indeed, any permutation of its digits) is also divisible by three.",Tree,25
18,"This divisibility rule works in any positional numeral system whose base divided by three leaves a remainder of one (bases 4, 7, 10, etc.).",Tree,24
19,"=== Properties ===
3 is the second smallest prime number and the first odd prime number.",Tree,16
20,"It is a twin prime with 5, and a cousin prime with 7.",Tree,13
21,A triangle is made of three sides.,Tree,7
22,It is the smallest non-self-intersecting polygon and the only polygon not to have proper diagonals.,Tree,15
23,It is also the first of five known Fermat primes.,Tree,10
24,"It is the second Fibonacci prime (and the second Lucas prime), the second Sophie Germain prime, and the second factorial prime.",Tree,21
25,Three is the only prime which is one less than a perfect square.,Tree,13
26,"This is true for 3 as well (with 
  
    
      
        n
      
    
    {\displaystyle n}
  
 = 2), but in this case the smaller factor is 1.",Tree,22
27,"Early peoples had a word to describe the quantities of one, two, and three, but any quantity beyond was simply denoted as ""Many"".",Tree,23
28,"=== List of basic calculations ===


== Engineering ==
The triangle, a polygon with three edges and three vertices, is the most stable physical shape.",Tree,25
29,"For this reason it is widely utilized in construction, engineering and design.",Tree,12
30,"=== Mystical ===
Three is the symbolic representation for Mu, Augustus Le Plongeon's and James Churchward's lost continent.",Tree,18
31,"== Religion and beliefs ==

Many world religions contain triple deities or concepts of trinity, including the Hindu Trimurti and Tridevi, the Triglav (lit.",Tree,24
32,"The phrase ""Third time's the charm"" refers to the superstition that after two failures in any endeavor, a third attempt is more likely to succeed.",Tree,25
33,"However, some superstitions say the opposite, stating that luck, especially bad luck, is often said to ""come in threes"".",Tree,19
34,"(1987): 46–48


== External links ==

Tricyclopedic Book of Threes by Michael Eck
Threes in Human Anatomy by John A. McNulty
Grime, James.",Tree,23
35,Archived from the original on 2013-05-14.,Tree,6
36,"The Number 3
The Positive Integer 3
Prime curiosities: 3",Tree,10
37,"A river may run dry before reaching the end of its course if it runs out of water, or only flow during certain seasons.",River,24
38,"Rivers are regulated by the water cycle, the processes by which water moves around the Earth.",River,16
39,"Rivers flow in channeled watercourses and merge in confluences to form drainage basins, areas where surface water eventually flows to a common outlet.",River,23
40,Rivers have a great effect on the landscape around them.,River,10
41,"They may regularly overflow their banks and flood the surrounding area, spreading nutrients to the surrounding area.",River,17
42,"Sediment or alluvium carried by rivers shapes the landscape around it, forming deltas and islands where the flow slows down.",River,20
43,"Rivers rarely run in a straight line, instead, they bend or meander; the locations of a river's banks can change frequently.",River,21
44,"Rivers get their alluvium from erosion, which carves rock into canyons and valleys.",River,13
45,"Rivers have sustained human and animal life for millennia, including the first human civilizations.",River,14
46,"The organisms that live around or in a river such as fish, aquatic plants, and insects have different roles, including processing organic matter and predation.",River,25
47,"Rivers have produced abundant resources for humans, including food, transportation, drinking water, and recreation.",River,14
48,"Humans have engineered rivers to prevent flooding, irrigate crops, perform work with water wheels, and produce hydroelectricity from dams.",River,19
49,"People associate rivers with life and fertility and have strong religious, political, social, and mythological attachments to them.",River,18
50,"Rivers and river ecosystems are threatened by water pollution, climate change, and human activity.",River,14
51,Decreased snowfall from climate change has resulted in less water available for rivers during the summer.,River,16
52,"Regulation of pollution, dam removal, and sewage treatment have helped to improve water quality and restore river habitats.",River,18
53,"This flow can be into a lake, an ocean, or another river.",River,12
54,"A stream refers to water that flows in a natural channel, a geographic feature that can contain flowing water.",River,19
55,A stream may also be referred to as a watercourse.,River,10
56,"The study of the movement of water as it occurs on Earth is called hydrology, and their effect on the landscape is covered by geomorphology.",River,25
57,"=== Source and drainage basin ===

Rivers are part of the water cycle, the continuous processes by which water moves about Earth.",River,22
58,This means that all water that flows in rivers must ultimately come from precipitation.,River,14
59,"The headwaters of a river are the smaller streams that feed a river, and make up the river's source.",River,19
60,These streams may be small and flow rapidly down the sides of mountains.,River,13
61,All of the land uphill of a river that feeds it with water in this way is in that river's drainage basin or watershed.,River,24
62,One example of this is the Continental Divide of the Americas in the Rocky Mountains.,River,15
63,"Water on the western side of the divide flows into the Pacific Ocean, whereas water on the other side flows into the Atlantic Ocean.",River,24
64,Not all precipitation flows directly into rivers; some water seeps into underground aquifers.,River,13
65,"These, in turn, can still feed rivers via the water table, the groundwater beneath the surface of the land stored in the soil.",River,23
66,Water flows into rivers in places where the river's elevation is lower than that of the water table.,River,18
67,This phenomenon is why rivers can still flow even during times of drought.,River,13
68,Rivers are also fed by the melting of snow glaciers present in higher elevation regions.,River,15
69,"In summer months, higher temperatures melt snow and ice, causing additional water to flow into rivers.",River,16
70,"=== Flow ===
Rivers flow downhill, with their direction determined by gravity.",River,12
71,"A common misconception holds that all or most rivers flow from North to South, but this is not true.",River,19
72,"As rivers flow downstream, they eventually merge to form larger rivers.",River,11
73,"A river that feeds into another is a tributary, and the place they meet is a confluence.",River,17
74,Rivers must flow to lower altitudes due to gravity.,River,9
75,The bed of a river is typically within a river valley between hills or mountains.,River,15
76,Rivers flowing through an impermeable section of land such as rocks will erode the slopes on the sides of the river.,River,21
77,"When a river carves a plateau or a similar high-elevation area, a canyon can form, with cliffs on either side of the river.",River,23
78,"Areas of a river with softer rock weather faster than areas with harder rock, causing a difference in elevation between two points of a river.",River,25
79,This can cause the formation of a waterfall as the river's flow falls down a vertical drop.,River,17
80,A river in a permeable area does not exhibit this behavior and may even have raised banks due to sediment.,River,20
81,"Rivers also change their landscape through their transportation of sediment, often known as alluvium when applied specifically to rivers.",River,19
82,The sand in deserts and the sediment that forms bar islands is from rivers.,River,14
83,This sediment may be deposited in river valleys or carried to the sea.,River,13
84,The sediment yield of a river is the quantity of sand per unit area within a watershed that is removed over a period of time.,River,25
85,"Rivers rarely run in a straight direction, instead preferring to bend or meander.",River,13
86,This is because any natural impediment to the flow of the river may cause the current to deflect in a different direction.,River,22
87,"A mountain is an elevated portion of the surface of a planet, generally with steep sides that show significant exposed bedrock.",Mountain,21
88,It may either have a limited summit area or be a smaller plateau with high elevation and steep sides.,Mountain,19
89,"A few mountains are isolated summits, but most occur in mountain ranges.",Mountain,12
90,"Mountains are formed through tectonic forces, erosion, or volcanism, which act on time scales of up to tens of millions of years.",Mountain,22
91,High elevations on mountains produce colder climates than at sea level at similar latitude.,Mountain,14
92,These colder climates strongly affect the ecosystems of mountains: different elevations have different plants and animals.,Mountain,16
93,"The highest mountain on Earth is Mount Everest in the Himalayas of Asia, whose summit is 8,850 m (29,035 ft) above mean sea level.",Mountain,24
94,"The highest known mountain on any planet in the Solar System is Olympus Mons on Mars at 21,171 m (69,459 ft).",Mountain,21
95,"== Definition ==

There is no universally accepted definition of a mountain.",Mountain,12
96,"Elevation, volume, relief, steepness, spacing and continuity have been used as criteria for defining a mountain.",Mountain,16
97,Whether a landform is called a mountain may depend on local usage.,Mountain,12
98,"John Whittow's Dictionary of Physical Geography states ""Some authorities regard eminences above 600 metres (1,969 ft) as mountains, those below being referred to as hills.""",Mountain,25
99,"In addition, some definitions also include a topographical prominence requirement, such as that the mountain rises 300 metres (984 ft) above the surrounding terrain.",Mountain,24
100,Any similar landform lower than this height was considered a hill.,Mountain,11
101,"However, today, the United States Geological Survey concludes that these terms do not have technical definitions in the US.",Mountain,19
102,"The UN Environmental Programme's definition of ""mountainous environment"" includes any of the following:

Class 1: Elevation greater than 4,500 m (14,764 ft).",Mountain,22
103,"Class 2: Elevation between 3,500 and 4,500 m (11,483 and 14,764 ft).",Mountain,12
104,"Class 3: Elevation between 2,500 and 3,500 m (8,202 and 11,483 ft).",Mountain,12
105,"Class 4: Elevation between 1,500 and 2,500 m (4,921 and 8,202 ft), with a slope greater than 2 degrees.",Mountain,19
106,"Class 6: Elevation between 300 and 1,000 m (984 and 3,281 ft), with a 300 m (984 ft) elevation range within 7 km (4.3 mi).",Mountain,25
107,"Using these definitions, mountains cover 33% of Eurasia, 19% of South America, 24% of North America, and 14% of Africa.",Mountain,20
108,"As a whole, 24% of the Earth's land mass is mountainous.",Mountain,11
109,"== Geology ==

There are three main types of mountains: volcanic, fold, and block.",Mountain,14
110,"All three types are formed from plate tectonics: when portions of the Earth's crust move, crumple, and dive.",Mountain,18
111,"Compressional forces, isostatic uplift and intrusion of igneous matter forces surface rock upward, creating a landform higher than the surrounding features.",Mountain,21
112,"The height of the feature makes it either a hill or, if higher and steeper, a mountain.",Mountain,17
113,"Major mountains tend to occur in long linear arcs, indicating tectonic plate boundaries and activity.",Mountain,15
114,"=== Volcanoes ===

Volcanoes are formed when a plate is pushed below another plate, or at a mid-ocean ridge or hotspot.",Mountain,21
115,"When the magma reaches the surface, it often builds a volcanic mountain, such as a shield volcano or a stratovolcano.",Mountain,20
116,Examples of volcanoes include Mount Fuji in Japan and Mount Pinatubo in the Philippines.,Mountain,14
117,"=== Fold mountains ===

Fold mountains occur when two plates collide: shortening occurs along thrust faults and the crust is overthickened.",Mountain,21
118,"Thus the continental crust is normally much thicker under mountains, compared to lower lying areas.",Mountain,15
119,Rock can fold either symmetrically or asymmetrically.,Mountain,7
120,The upfolds are anticlines and the downfolds are synclines: in asymmetric folding there may also be recumbent and overturned folds.,Mountain,20
121,The Balkan Mountains and the Jura Mountains are examples of fold mountains.,Mountain,12
122,"=== Block mountains ===

Block mountains are caused by faults in the crust: a plane where rocks have moved past each other.",Mountain,22
123,"When rocks on one side of a fault rise relative to the other, it can form a mountain.",Mountain,18
124,The uplifted blocks are block mountains or horsts.,Mountain,8
125,The intervening dropped blocks are termed graben: these can be small or form extensive rift valley systems.,Mountain,17
126,"This kind of landscape can be seen in East Africa, the Vosges and Rhine valley, and the Basin and Range Province of Western North America.",Mountain,25
127,These areas often occur when the regional stress is extensional and the crust is thinned.,Mountain,15
128,Erosion causes the surface of mountains to be younger than the rocks that form the mountains themselves.,Mountain,17
129,"Glacial processes produce characteristic landforms, such as pyramidal peaks, knife-edge arêtes, and bowl-shaped cirques that can contain lakes.",Mountain,18
130,"Plateau mountains, such as the Catskills, are formed from the erosion of an uplifted plateau.",Mountain,15
131,"== Climate ==

Climate in the mountains becomes colder at high elevations, due to an interaction between radiation and convection.",Mountain,20
132,Sunlight in the visible spectrum hits the ground and heats it.,Mountain,11
133,The ground then heats the air at the surface.,Mountain,9
134,"However, when air is hot, it tends to expand, which lowers its density.",Mountain,13
135,"Thus, hot air tends to rise and transfer heat upward.",Mountain,10
136,This is the process of convection.,Mountain,6
137,A son is a male offspring; a boy or a man in relation to his parents.,Sun,16
138,The female counterpart is a daughter.,Sun,6
139,"From a biological perspective, a son constitutes a first degree relative.",Sun,11
140,"In China, a one-child policy was in effect until 2015 in order to address rapid population growth.",Sun,17
141,Official birth records showed a rise in the level of male births since the policy was brought into law.,Sun,19
142,"This was attributed to a number of factors, including the illegal practice of sex-selective abortion and widespread under-reporting of female births.",Sun,21
143,"In patrilineal societies, sons will customarily inherit an estate before daughters.",Sun,11
144,"In some cultures, the eldest son has special privileges.",Sun,9
145,"For example, in Biblical times, the first-born male was bequeathed the most goods from his father.",Sun,16
146,"== Christian symbolism ==

Among Christians, ""the Son"" or Son of God refers to Jesus Christ.",Sun,16
147,"Trinitarian Christians view Jesus as the human incarnation of God the second person of the Trinity, known as God the Son.",Sun,21
148,"In the Gospels, Jesus sometimes refers to himself as the Son of Man.",Sun,13
149,It may vary between the beginning or the termination of the surname.,Sun,12
150,"Examples: ""Ibn Sina"" (""son of Sina""), ""Ibn Khaldun"" (""son of Khaldun"").",Sun,11
151,"Berber
U (also spelled ou).",Sun,5
152,"Examples: ""Usadden"" (""son of Sadden""), ""Uâli"" (""son of Âli"").",Sun,9
153,Ayt (also spelled ait or aït).,Sun,6
154,"Examples: ""Ayt Buyafar"" (""sons of Buyafar""), ""Ayt Mellul"" (""sons of Mellul"").",Sun,11
155,n Ayt (also spelled nait or naït).,Sun,7
156,"Examples: ""n Ayt Ndir"" (""son of the Ndir tribe/family""), ""Naït Zerrad"" (""son of the Zerrad tribe or family"").",Sun,18
157,"Examples: ""Henriksen"" (""son of Henrik""), ""Jensen"" (""son of Jens""), ""Andersen"" (""son of Anders"").",Sun,13
158,"Examples: ""Jansen"" (""son of Jan""), ""Petersen"" (""son of Peter""), ""Pietersen"" (""son of Pieter"")
Zoon.",Sun,14
159,"Examples: ""Jefferson"" (""son of Jeffery""), ""Wilson"" (""son of William""), ""Edson"" (""son of Edward""), ""Anderson"" (""son of Ander"").",Sun,17
160,"Example: ""Fernandes"" (""son of Fernand"").",Sun,5
161,"Example: ""Pierrot"" (""son of Pierre"").",Sun,5
162,"Example: ""Danton"" (""son of Anton"").",Sun,5
163,"Hebrew
ben or bin before 1300 BC.",Sun,7
164,"Example: ""Benjamin"" (""son of a right-hand man"").",Sun,7
165,"Also, the Hebrew word for ""person"" is ben Adam, meaning ""son of Adam"".",Sun,13
166,"Example: ""Mera beta Tim"" (""my son Tim"").",Sun,7
167,"Example ""मेरा बेटा टिम"" (""my son Tim"").",Sun,7
168,"Examples: ""Petőfi"" (""son of Pető""), ""Sándorfi"" (""son of Sándor""), ""Péterffy"" (""son of Péter"") (archaic spelling, indicates aristocratic origins).",Sun,18
169,"Examples: ""MacThomas"" (""son of Thomas""), ""McDonald"" (""son of Donald""), ""MacLean"" (""son of Lean"").",Sun,13
170,"Examples: ""di Stefano"" (""son of Steven""), ""di Giovanni"" (""son of John""), ""di Giuseppe"" (""son of Joseph"").",Sun,16
171,"Examples: ""de Paolo"" (""son of Paul""), ""de Mauro"" (""son of Maurus""), ""de Giorgio"" (""son of George"").",Sun,16
172,"Examples: ""d'Antonio"" (""son of Anthony""), ""d'Adriano"" (""son of Adrian""), ""d'Agostino"" (""son of Augustine"").",Sun,13
173,#NAME?,Sun,8
174,"Examples: ""Paoli"" (""son of Paolo""), ""Richetti"" (""son of Richetto, a short name for Enrico"").",Sun,14
175,"Examples: ""Magnusson"" (""son of Magnus""); ""Sigurdson"" (""son of Sigurd""), ""Odinson"" (""son of Odin"").",Sun,13
176,"Example: ""Mahdipur"" (""son of Mahdi"").",Sun,5
177,"Example: ""Muhammadzadeh"" (""son/daughter of Muhammad"").",Sun,5
178,"Tagalog
Anak Example: mga Anak ni Pedro (son and daughter of Pedro)
Tamil
Magan.",Sun,14
179,"Example: ""En Magan Murugan"" (""my son Murugan"").",Sun,7
180,"Example ""என் மகன் முருகன்"" (""my son Murugan"").",Sun,7
181,"Examples: ""Janowski"" (""son of John""), ""Piotrowski"" (""son of Peter""), ""Michalski"" (""son of Michael"").",Sun,13
182,"Examples: ""Gonçalves"" (""son of Gonçalo""), ""Henriques"" (""son of Henrique""), ""Fernandes"" (""son of Fernando"").",Sun,13
183,"Romanian
a as prefix (except for female names that start in ""a"" and probably for others that start in vowels) and ei as suffix.",Sun,24
184,"Example: ""Amariei"" (""son of Mary""), ""Adomniței"" (""son of Domnița""), ""Alenei"" (""son of Elena/Leana"").",Sun,13
185,"escu or sometimes aşcu comes from the Latin -iscus which means ""belonging to the people"".",Sun,15
186,"Examples: ""Petrescu"" (""Petre's son""), ""Popescu"" (""Popa's son"", Popa meaning Priest), ""Constantinescu"" (""son of Constantin"").",Sun,14
187,"Trains are typically pulled or pushed by locomotives (often known simply as ""engines""), though some are self-propelled, such as multiple units or railcars.",Rain,23
188,"Passengers and cargo are carried in railroad cars, also known as wagons or carriages.",Rain,14
189,"Trains are designed to a certain gauge, or distance between rails.",Rain,11
190,"Most trains operate on steel tracks with steel wheels, the low friction of which makes them more efficient than other forms of transport.",Rain,23
191,Many countries use rail transport.,Rain,5
192,"Trains have their roots in wagonways, which used railway tracks and were powered by horses or pulled by cables.",Rain,19
193,Rapid transit and trams were first built in the late 1800s to transport large numbers of people in and around cities.,Rain,21
194,"Beginning in the 1920s, and accelerating following World War II, diesel and electric locomotives replaced steam as the means of motive power.",Rain,22
195,The spread of buses led to the closure of many rapid transit and tram systems during this time as well.,Rain,20
196,"High-speed rail, first built in the 1960s, has proven competitive with cars and planes over short to medium distances.",Rain,19
197,"Monorails operate on a single rail, while funiculars and rack railways are uniquely designed to traverse steep slopes.",Rain,18
198,Trains which use alternative fuels such as natural gas and hydrogen are a 21st-century development.,Rain,15
199,"Conventional trains operate on two rails, but several other types of track systems are also in use around the world, such as monorail.",Rain,23
200,"=== Terminology ===
The railway terminology that is used to describe a train varies between countries.",Rain,16
201,The International Union of Railways seeks to provide standardised terminology across languages.,Rain,12
202,The Association of American Railroads provides terminology for North America.,Rain,10
203,"Terms include:

Train (Britain): a light locomotive, self-propelled rail vehicle or road-rail vehicle in rail mode.",Rain,16
204,Train (United States): a connected line of railroad cars with or without a locomotive.,Rain,14
205,Rolling stock (many jurisdictions): any kind of railway vehicle.,Rain,9
206,Rake (Britain): a collection of passenger or freight vehicles connected together (not necessarily with a locomotive).,Rain,16
207,"Consist (North America and Australia): a train, locomotive(s), cut of cars, or any single car not coupled to another car or locomotive.",Rain,22
208,"Trainset (many jurisdictions): a set of vehicles that are permanently coupled together (such as the  TGV, ICE or Pioneer Zephyr).",Rain,20
209,"Starting in the 1500s, wagonways were introduced to haul material from mines; from the 1790s, stronger iron rails were introduced.",Rain,20
210,"Outside of coal mines, where fuel was readily available, steam locomotives remained untried until the opening of the Stockton and Darlington Railway in 1825.",Rain,24
211,British engineer George Stephenson ran a steam locomotive named Locomotion No.,Rain,11
212,"1 on this 40-kilometer (25-mile) long line, hauling over 400 passengers at up to 13 kilometers per hour (8 mph).",Rain,20
213,"News of the success of steam locomotives quickly reached the United States, where the first steam railroad opened in 1829.",Rain,20
214,"American railroad pioneers soon started manufacturing their own locomotives, designed to handle the sharper curves and rougher track typical of the country's railroads.",Rain,23
215,"In the 1850s, trains continued to expand across Europe, with many influenced by or purchases of American locomotive designs.",Rain,19
216,Other European countries pursued their own distinct designs.,Rain,8
217,"Around the world, steam locomotives grew larger and more powerful throughout the rest of the century as technology advanced.",Rain,19
218,"In Japan, which was never colonized, railroads first arrived in the early 1870s.",Rain,13
219,"By 1900, railroads were operating on every continent besides uninhabited Antarctica.",Rain,11
220,"=== New technologies ===

Even as steam locomotive technology continued to improve, inventors in Germany started work on alternative methods for powering trains.",Rain,23
221,"Werner von Siemens built the first train powered by electricity in 1879, and went on to pioneer electric trams.",Rain,19
222,"Experimentation with diesel and gas power continued, culminating in the German ""Flying Hamburger"" in 1933, and the influential American EMD FT in 1939.",Rain,23
223,"These successful diesel locomotives showed that diesel power was superior to steam, due to lower costs, ease of maintenance, and better reliability.",Rain,22
224,"=== Dieselization and increased competition ===
World War II brought great destruction to existing railroads across Europe, Asia, and Africa.",Rain,20
225,"France, Russia, Switzerland, and Japan were leaders in adopting widespread electrified railroads, while other nations focused primarily on dieselization.",Rain,19
226,"Trains began to face strong competition from automobiles and freight trucks in the 1930s, which greatly intensified following World War II.",Rain,21
227,"After the war, air transport also became a significant competitor for passenger trains.",Rain,13
228,"Large amounts of traffic shifted to these new forms of transportation, resulting in a widespread decline in train service, both freight and passenger.",Rain,23
229,"The first high-speed rail service was the Japanese Shinkansen, which entered service in 1964.",Rain,14
230,"The first high-speed train in the Americas was Amtrak's Acela in the United States, which entered service in 2000.",Rain,19
231,"Aside from shipping, freight rail is the most energy-efficient and least carbon-intensive way to transport goods.""",Rain,16
232,"As such, rail transport is considered an important part of achieving sustainable energy.",Rain,13
233,"Intermodal freight trains, carrying double-stack shipping containers, have since the 1970s generated significant business for railroads and gained market share from trucks.",Rain,22
234,Increased use of commuter rail has also been promoted as a means of fighting traffic congestion on highways in urban areas.,Rain,21
235,"== Components ==


=== Bogies ===

Bogies, also known in North America as trucks, support the wheels and axles of trains.",Rain,21
236,Trucks range from just one axle to as many as four or more.,Rain,13
