id,sentence,source,length,simplified_sentence
113,"Major mountains tend to occur in long linear arcs, indicating tectonic plate boundaries and activity.",Mountain,15,mountains tend to occur in arcs indicating plate boundaries and activity
114,"=== Volcanoes === Volcanoes are formed when a plate is pushed below another plate, or at a mid-ocean ridge or hotspot.",Mountain,21,= = = Volcanoes = = = Volcanoes are formed a plate is pushed below another plate or at a mid - ocean ridge or hotspot
115,"When the magma reaches the surface, it often builds a volcanic mountain, such as a shield volcano or a stratovolcano.",Mountain,20,the magma reaches the surface it builds a mountain as a shield volcano or a stratovolcano
116,Examples of volcanoes include Mount Fuji in Japan and Mount Pinatubo in the Philippines.,Mountain,14,Examples of volcanoes include Mount Fuji in Japan and Mount Pinatubo in the Philippines
117,=== Fold mountains === Fold mountains occur when two plates collide: shortening occurs along thrust faults and the crust is overthickened.,Mountain,21,= = = Fold mountains = = = Fold mountains occur two plates collide shortening occurs along thrust faults and the crust is overthickened
118,"Thus the continental crust is normally much thicker under mountains, compared to lower lying areas.",Mountain,15,the crust is thicker under mountains compared to areas
119,Rock can fold either symmetrically or asymmetrically.,Mountain,7,Rock can fold either or asymmetrically
120,The upfolds are anticlines and the downfolds are synclines: in asymmetric folding there may also be recumbent and overturned folds.,Mountain,20,The upfolds are anticlines and the downfolds are synclines in asymmetric folding may be and overturned folds
121,The Balkan Mountains and the Jura Mountains are examples of fold mountains.,Mountain,12,The Balkan Mountains and the Jura Mountains are examples of mountains
122,=== Block mountains === Block mountains are caused by faults in the crust: a plane where rocks have moved past each other.,Mountain,22,= = = Block mountains = = = Block mountains are caused by faults in the crust a plane rocks have moved past each other
123,"When rocks on one side of a fault rise relative to the other, it can form a mountain.",Mountain,18,rocks on one side of a fault rise to the other it can form a mountain
124,The uplifted blocks are block mountains or horsts.,Mountain,8,The blocks are block mountains or horsts
125,The intervening dropped blocks are termed graben: these can be small or form extensive rift valley systems.,Mountain,17,The intervening dropped blocks are termed graben these can be small or form rift valley systems
126,"This kind of landscape can be seen in East Africa, the Vosges and Rhine valley, and the Basin and Range Province of Western North America.",Mountain,25,This kind of landscape can be seen in East Africa the Vosges and Rhine valley and the Basin and Range Province of Western North America
127,These areas often occur when the regional stress is extensional and the crust is thinned.,Mountain,15,These areas occur the stress is extensional and the crust is thinned
128,Erosion causes the surface of mountains to be younger than the rocks that form the mountains themselves.,Mountain,17,Erosion causes the surface of mountains to be younger than the rocks that form the mountains themselves
130,"Plateau mountains, such as the Catskills, are formed from the erosion of an uplifted plateau.",Mountain,15,Plateau mountains as the Catskills are formed from the erosion of an plateau
131,"== Climate == Climate in the mountains becomes colder at high elevations, due to an interaction between radiation and convection.",Mountain,20,= = Climate = = Climate in the mountains becomes colder at elevations due to an interaction between radiation and convection
132,Sunlight in the visible spectrum hits the ground and heats it.,Mountain,11,Sunlight in the spectrum hits the ground and heats it
133,The ground then heats the air at the surface.,Mountain,9,The ground heats the air at the surface
134,"However, when air is hot, it tends to expand, which lowers its density.",Mountain,13,air is hot it tends to expand which lowers its density
135,"Thus, hot air tends to rise and transfer heat upward.",Mountain,10,air tends to rise and transfer heat
136,This is the process of convection.,Mountain,6,This is the process of convection
137,A son is a male offspring; a boy or a man in relation to his parents.,Sun,16,A son is a offspring a boy or a man in relation to his parents
138,The female counterpart is a daughter.,Sun,6,The counterpart is a daughter
139,"From a biological perspective, a son constitutes a first degree relative.",Sun,11,From a perspective a son constitutes a degree relative
140,"In China, a one-child policy was in effect until 2015 in order to address rapid population growth.",Sun,17,In China a one child policy was in effect until 2015 in order to address population growth
141,Official birth records showed a rise in the level of male births since the policy was brought into law.,Sun,19,birth records showed a rise in the level of births since the policy was brought into law
142,"This was attributed to a number of factors, including the illegal practice of sex-selective abortion and widespread under-reporting of female births.",Sun,21,This was attributed to a number of factors including the practice of sex abortion and under reporting of births
143,"In patrilineal societies, sons will customarily inherit an estate before daughters.",Sun,11,In societies sons will inherit an estate before daughters
144,"In some cultures, the eldest son has special privileges.",Sun,9,In some cultures the son has privileges
145,"For example, in Biblical times, the first-born male was bequeathed the most goods from his father.",Sun,16,For example in Biblical times the male was bequeathed the goods from his father
146,"== Christian symbolism == Among Christians, ""the Son"" or Son of God refers to Jesus Christ.",Sun,16,= symbolism = = Among Christians the Son or Son of God refers to Jesus Christ
147,"Trinitarian Christians view Jesus as the human incarnation of God the second person of the Trinity, known as God the Son.",Sun,21,Trinitarian Christians view Jesus as the incarnation of God the person of the Trinity known as God the Son
148,"In the Gospels, Jesus sometimes refers to himself as the Son of Man.",Sun,13,In the Gospels Jesus refers to himself as the Son of Man
149,It may vary between the beginning or the termination of the surname.,Sun,12,It may vary between the beginning or the termination of the surname
150,"Examples: ""Ibn Sina"" (""son of Sina""), ""Ibn Khaldun"" (""son of Khaldun"").",Sun,11,Examples Ibn Sina son of Sina Ibn Khaldun son of Khaldun
151,Berber U (also spelled ou).,Sun,5,Berber U spelled
154,"Examples: ""Ayt Buyafar"" (""sons of Buyafar""), ""Ayt Mellul"" (""sons of Mellul"").",Sun,11,Examples Ayt Buyafar sons of Buyafar Ayt Mellul sons of Mellul
157,"Examples: ""Henriksen"" (""son of Henrik""), ""Jensen"" (""son of Jens""), ""Andersen"" (""son of Anders"").",Sun,13,Examples Henriksen son of Henrik Jensen son of Jens Andersen son of Anders
158,"Examples: ""Jansen"" (""son of Jan""), ""Petersen"" (""son of Peter""), ""Pietersen"" (""son of Pieter"") Zoon.",Sun,14,Examples Jansen son of Jan Petersen son of Peter Pietersen son of Pieter Zoon
159,"Examples: ""Jefferson"" (""son of Jeffery""), ""Wilson"" (""son of William""), ""Edson"" (""son of Edward""), ""Anderson"" (""son of Ander"").",Sun,17,Examples Jefferson son of Jeffery Wilson son of William Edson son of Edward Anderson son of Ander
160,"Example: ""Fernandes"" (""son of Fernand"").",Sun,5,Example Fernandes son of Fernand
161,"Example: ""Pierrot"" (""son of Pierre"").",Sun,5,Example Pierrot son of Pierre
162,"Example: ""Danton"" (""son of Anton"").",Sun,5,Example Danton son of Anton
163,Hebrew ben or bin before 1300 BC.,Sun,7,Hebrew ben or bin before 1300 BC
164,"Example: ""Benjamin"" (""son of a right-hand man"").",Sun,7,Example Benjamin son of a hand man
165,"Also, the Hebrew word for ""person"" is ben Adam, meaning ""son of Adam"".",Sun,13,the word for person is ben Adam meaning son of Adam
166,"Example: ""Mera beta Tim"" (""my son Tim"").",Sun,7,Example Mera beta Tim my son Tim
169,"Examples: ""MacThomas"" (""son of Thomas""), ""McDonald"" (""son of Donald""), ""MacLean"" (""son of Lean"").",Sun,13,Examples MacThomas son of Thomas McDonald son of Donald MacLean son of Lean
170,"Examples: ""di Stefano"" (""son of Steven""), ""di Giovanni"" (""son of John""), ""di Giuseppe"" (""son of Joseph"").",Sun,16,Examples di Stefano son of Steven di Giovanni son of John di Giuseppe son of Joseph
171,"Examples: ""de Paolo"" (""son of Paul""), ""de Mauro"" (""son of Maurus""), ""de Giorgio"" (""son of George"").",Sun,16,Examples de Paolo son of Paul de Mauro son of Maurus de Giorgio son of George
172,"Examples: ""d'Antonio"" (""son of Anthony""), ""d'Adriano"" (""son of Adrian""), ""d'Agostino"" (""son of Augustine"").",Sun,13,Examples d'Antonio son of Anthony d'Adriano son of Adrian d'Agostino son of Augustine
173,#NAME?,Sun,1,# NAME
174,"Examples: ""Paoli"" (""son of Paolo""), ""Richetti"" (""son of Richetto, a short name for Enrico"").",Sun,14,Examples Paoli son of Paolo Richetti son of Richetto a name for Enrico
175,"Examples: ""Magnusson"" (""son of Magnus""); ""Sigurdson"" (""son of Sigurd""), ""Odinson"" (""son of Odin"").",Sun,13,Examples Magnusson son of Magnus Sigurdson son of Sigurd Odinson son of Odin
176,"Example: ""Mahdipur"" (""son of Mahdi"").",Sun,5,Example Mahdipur son of Mahdi
177,"Example: ""Muhammadzadeh"" (""son/daughter of Muhammad"").",Sun,5,Example son / daughter of Muhammad
178,Tagalog Anak Example: mga Anak ni Pedro (son and daughter of Pedro) Tamil Magan.,Sun,14,Tagalog Anak Example mga Anak ni Pedro son and daughter of Pedro Tamil Magan
179,"Example: ""En Magan Murugan"" (""my son Murugan"").",Sun,7,Example En Magan Murugan my son Murugan
181,"Examples: ""Janowski"" (""son of John""), ""Piotrowski"" (""son of Peter""), ""Michalski"" (""son of Michael"").",Sun,13,Examples Janowski son of John Piotrowski son of Peter Michalski son of Michael
183,"Romanian a as prefix (except for female names that start in ""a"" and probably for others that start in vowels) and ei as suffix.",Sun,24,Romanian prefix except for names that start in a and for others that start in vowels and ei as suffix
186,"Examples: ""Petrescu"" (""Petre's son""), ""Popescu"" (""Popa's son"", Popa meaning Priest), ""Constantinescu"" (""son of Constantin"").",Sun,14,Examples Petrescu Petre 's son Popescu Popa 's son Popa meaning Priest Constantinescu son of Constantin
187,"Trains are typically pulled or pushed by locomotives (often known simply as ""engines""), though some are self-propelled, such as multiple units or railcars.",Rain,23,Trains are pulled or pushed by locomotives known as engines though some are self propelled as units or railcars
188,"Passengers and cargo are carried in railroad cars, also known as wagons or carriages.",Rain,14,Passengers and cargo are carried in railroad cars known as wagons or carriages
189,"Trains are designed to a certain gauge, or distance between rails.",Rain,11,Trains are designed to a gauge or distance between rails
190,"Most trains operate on steel tracks with steel wheels, the low friction of which makes them more efficient than other forms of transport.",Rain,23,trains operate on steel tracks with steel wheels the friction of which makes them efficient than forms of transport
191,Many countries use rail transport.,Rain,5,countries use rail transport
192,"Trains have their roots in wagonways, which used railway tracks and were powered by horses or pulled by cables.",Rain,19,Trains have their roots in wagonways which used railway tracks and were powered by horses or pulled by cables
193,Rapid transit and trams were first built in the late 1800s to transport large numbers of people in and around cities.,Rain,21,transit and trams were built in the 1800s to transport numbers of people in and around cities
194,"Beginning in the 1920s, and accelerating following World War II, diesel and electric locomotives replaced steam as the means of motive power.",Rain,22,Beginning in the 1920s and accelerating following World War II diesel and electric locomotives replaced steam as the means of power
195,The spread of buses led to the closure of many rapid transit and tram systems during this time as well.,Rain,20,The spread of buses led to the closure of transit and tram systems during this time
196,"High-speed rail, first built in the 1960s, has proven competitive with cars and planes over short to medium distances.",Rain,19,speed rail built in the 1960s has proven competitive with cars and planes over to medium distances
197,"Monorails operate on a single rail, while funiculars and rack railways are uniquely designed to traverse steep slopes.",Rain,18,Monorails operate on a rail while funiculars and rack railways are designed to traverse slopes
198,Trains which use alternative fuels such as natural gas and hydrogen are a 21st-century development.,Rain,15,Trains which use fuels as gas and hydrogen are a century development
199,"Conventional trains operate on two rails, but several other types of track systems are also in use around the world, such as monorail.",Rain,23,trains operate on two rails but types of track systems are in use around the world as monorail
200,=== Terminology === The railway terminology that is used to describe a train varies between countries.,Rain,16,= = = Terminology = = = The railway terminology that is used to describe a train varies between countries
201,The International Union of Railways seeks to provide standardised terminology across languages.,Rain,12,The International Union of Railways seeks to provide terminology across languages
202,The Association of American Railroads provides terminology for North America.,Rain,10,The Association of American Railroads provides terminology for North America
203,"Terms include: Train (Britain): a light locomotive, self-propelled rail vehicle or road-rail vehicle in rail mode.",Rain,16,Terms include Train Britain a self rail vehicle or road rail vehicle in rail mode
204,Train (United States): a connected line of railroad cars with or without a locomotive.,Rain,14,Train United States a line of railroad cars with or without a locomotive
205,Rolling stock (many jurisdictions): any kind of railway vehicle.,Rain,9,stock jurisdictions any kind of railway vehicle
206,Rake (Britain): a collection of passenger or freight vehicles connected together (not necessarily with a locomotive).,Rain,16,Rake Britain a collection of passenger or freight vehicles connected not with a locomotive
207,"Consist (North America and Australia): a train, locomotive(s), cut of cars, or any single car not coupled to another car or locomotive.",Rain,22,Consist North America and Australia a train locomotive(s cut of cars or any car not coupled to another car or locomotive
208,"Trainset (many jurisdictions): a set of vehicles that are permanently coupled together (such as the TGV, ICE or Pioneer Zephyr).",Rain,20,Trainset jurisdictions a set of vehicles that are coupled as the TGV ICE or Pioneer Zephyr
209,"Starting in the 1500s, wagonways were introduced to haul material from mines; from the 1790s, stronger iron rails were introduced.",Rain,20,Starting in the 1500s wagonways were introduced to haul material from mines from the 1790s iron rails were introduced
210,"Outside of coal mines, where fuel was readily available, steam locomotives remained untried until the opening of the Stockton and Darlington Railway in 1825.",Rain,24,Outside of coal mines fuel was available steam locomotives remained untried until the opening of the Stockton and Darlington Railway in 1825
211,British engineer George Stephenson ran a steam locomotive named Locomotion No.,Rain,11,engineer George Stephenson ran a steam locomotive named Locomotion No
212,"1 on this 40-kilometer (25-mile) long line, hauling over 400 passengers at up to 13 kilometers per hour (8 mph).",Rain,20,1 on this 40 kilometer 25 mile line hauling 400 passengers at up to 13 kilometers per hour 8 mph
213,"News of the success of steam locomotives quickly reached the United States, where the first steam railroad opened in 1829.",Rain,20,News of the success of steam locomotives reached the United States the steam railroad opened in 1829
214,"American railroad pioneers soon started manufacturing their own locomotives, designed to handle the sharper curves and rougher track typical of the country's railroads.",Rain,23,railroad pioneers started manufacturing their locomotives designed to handle the curves and track of the country 's railroads
215,"In the 1850s, trains continued to expand across Europe, with many influenced by or purchases of American locomotive designs.",Rain,19,In the 1850s trains continued to expand across Europe with many influenced by or purchases of designs
216,Other European countries pursued their own distinct designs.,Rain,8,countries pursued their designs
217,"Around the world, steam locomotives grew larger and more powerful throughout the rest of the century as technology advanced.",Rain,19,Around the world steam locomotives grew larger and powerful throughout the rest of the century as technology advanced
218,"In Japan, which was never colonized, railroads first arrived in the early 1870s.",Rain,13,In Japan which was never colonized railroads arrived in the 1870s
219,"By 1900, railroads were operating on every continent besides uninhabited Antarctica.",Rain,11,By 1900 railroads were operating on every continent besides Antarctica
220,"=== New technologies === Even as steam locomotive technology continued to improve, inventors in Germany started work on alternative methods for powering trains.",Rain,23,= technologies = = = as steam technology continued to improve inventors in Germany started work on methods for powering trains
221,"Werner von Siemens built the first train powered by electricity in 1879, and went on to pioneer electric trams.",Rain,19,Werner von Siemens built the train powered by electricity in 1879 and went on to pioneer electric trams
222,"Experimentation with diesel and gas power continued, culminating in the German ""Flying Hamburger"" in 1933, and the influential American EMD FT in 1939.",Rain,23,Experimentation with diesel and gas power continued culminating in the Flying Hamburger in 1933 and the EMD FT in 1939
223,"These successful diesel locomotives showed that diesel power was superior to steam, due to lower costs, ease of maintenance, and better reliability.",Rain,22,These diesel locomotives showed that diesel power was superior to steam due to costs ease of maintenance and reliability
224,"=== Dieselization and increased competition === World War II brought great destruction to existing railroads across Europe, Asia, and Africa.",Rain,20,= = = Dieselization and competition = = = World War II brought destruction to railroads across Europe Asia and Africa
225,"France, Russia, Switzerland, and Japan were leaders in adopting widespread electrified railroads, while other nations focused primarily on dieselization.",Rain,19,France Russia Switzerland and Japan were leaders in adopting railroads while nations focused on dieselization
226,"Trains began to face strong competition from automobiles and freight trucks in the 1930s, which greatly intensified following World War II.",Rain,21,Trains began to face competition from automobiles and freight trucks in the 1930s which intensified following World War II
227,"After the war, air transport also became a significant competitor for passenger trains.",Rain,13,After the war air transport became a competitor for passenger trains
228,"Large amounts of traffic shifted to these new forms of transportation, resulting in a widespread decline in train service, both freight and passenger.",Rain,23,amounts of traffic shifted to these forms of transportation resulting in a decline in train service both freight and passenger
229,"The first high-speed rail service was the Japanese Shinkansen, which entered service in 1964.",Rain,14,The speed rail service was the Japanese Shinkansen which entered service in 1964
230,"The first high-speed train in the Americas was Amtrak's Acela in the United States, which entered service in 2000.",Rain,19,The speed train in the Americas was Amtrak 's Acela in the United States which entered service in 2000
231,"Aside from shipping, freight rail is the most energy-efficient and least carbon-intensive way to transport goods.""",Rain,16,from shipping freight rail is the energy and least carbon intensive way to transport goods
232,"As such, rail transport is considered an important part of achieving sustainable energy.",Rain,13,As rail transport is considered an part of achieving energy
233,"Intermodal freight trains, carrying double-stack shipping containers, have since the 1970s generated significant business for railroads and gained market share from trucks.",Rain,22,freight trains carrying stack shipping containers have since the 1970s generated business for railroads and gained market share from trucks
234,Increased use of commuter rail has also been promoted as a means of fighting traffic congestion on highways in urban areas.,Rain,21,use of commuter rail has been promoted as a means of fighting traffic congestion on highways in areas
235,"== Components == === Bogies === Bogies, also known in North America as trucks, support the wheels and axles of trains.",Rain,21,= = Components = = = = = Bogies = = = Bogies known in North America as trucks support the wheels and axles of trains
236,Trucks range from just one axle to as many as four or more.,Rain,13,Trucks range from one axle to as four or more
